electricidad_uso,electricidad_emisiones,auto_uso,auto_emisiones,avion_uso,avion_emisiones,residuos_uso,residuos_emisiones,agua_uso,agua_emisiones,total_emisiones
7266.93,3453.2451,526.8,93.4016,421.32,107.4366,470.01,893.019,27393.91,8.2182,4555.3205
398.77,189.4955,276.0,48.9348,251.9,64.2345,350.31,665.589,10313.32,3.094,971.3478
5149.91,2447.2372,1850.77,328.1415,523.36,133.4568,360.47,684.893,35907.62,10.7723,3604.5008
7521.09,3574.022,1542.77,273.5331,1093.39,278.8145,195.53,371.507,14993.57,4.4981,4502.3747
9294.27,4416.6371,1989.44,352.7277,754.5,192.3975,116.54,221.426,49180.04,14.754,5197.9423
3946.91,1875.5716,797.66,141.4251,1055.08,269.0454,498.43,947.017,21722.83,6.5168,3239.5759
7093.15,3370.6649,205.13,36.3695,1857.49,473.66,427.24,811.756,32152.12,9.6456,4702.096
7832.51,3722.0088,1904.01,337.581,1958.66,499.4583,275.01,522.519,43306.12,12.9918,5094.5589
2617.21,1243.6982,414.06,73.4128,1687.76,430.3788,180.87,343.653,7073.94,2.1222,2093.265
7646.29,3633.517,335.64,59.509,1564.75,399.0113,58.92,111.948,29016.46,8.7049,4212.6902
8616.18,4094.4087,260.15,46.1246,953.76,243.2088,462.39,878.541,32133.49,9.64,5271.9231
9792.74,4653.51,1038.24,184.08,1228.93,313.3772,383.97,729.543,46231.82,13.8695,5894.3797
8215.14,3903.8345,1237.52,219.4123,761.74,194.2437,316.84,601.996,38409.0,11.5227,4931.0092
7996.61,3799.9891,312.08,55.3318,642.65,163.8758,476.71,905.749,12172.8,3.6518,4928.5975
4755.19,2259.6663,1312.13,232.6406,1036.21,264.2336,171.62,326.078,16994.98,5.0985,3087.717
7575.19,3599.7303,396.5,70.2995,285.19,72.7234,467.38,888.022,20648.24,6.1945,4636.9697
2786.79,1324.2826,1232.68,218.5542,1862.0,474.81,332.39,631.541,42154.21,12.6463,2661.8341
3674.28,1746.0179,805.99,142.902,571.48,145.7274,180.76,343.444,22599.82,6.7799,2384.8712
7747.91,3681.8068,1674.6,296.9066,88.41,22.5446,485.2,921.88,38286.79,11.486,4934.624
5737.13,2726.2842,1588.91,281.7137,288.44,73.5522,70.72,134.368,20695.91,6.2088,3222.1269
1795.54,853.2406,1331.91,236.1476,1013.68,258.4884,311.28,591.432,33205.41,9.9616,1949.2702
2788.75,1325.214,518.88,91.9974,640.86,163.4193,96.17,182.723,42828.23,12.8485,1776.2022
5641.43,2680.8075,742.28,131.6062,434.28,110.7414,328.45,624.055,29321.86,8.7966,3556.0067
8310.64,3949.2161,1945.38,344.9159,1757.53,448.1701,283.36,538.384,19652.41,5.8957,5286.5818
4594.56,2183.3349,553.05,98.0558,1178.77,300.5863,449.53,854.107,6993.8,2.0981,3438.1821
