electricidad_uso,electricidad_emisiones,auto_uso,auto_emisiones,avion_uso,avion_emisiones,residuos_uso,residuos_emisiones,agua_uso,agua_emisiones,total_emisiones,clasificacion
7384.91,3509.3092,1523.43,270.1041,308.9,78.7695,398.56,757.264,42496.95,12.7491,4628.1959,media
4449.0,2114.1648,955.58,169.4243,1682.05,428.9228,153.63,291.897,25146.01,7.5438,3011.9527,media
9004.98,4279.1665,1245.87,220.8928,1333.53,340.0501,279.37,530.803,25408.4,7.6225,5378.5349,alta
8497.69,4038.1023,1712.81,303.6812,176.73,45.0662,296.22,562.818,32107.09,9.6321,4959.2998,media
1752.54,832.807,833.35,147.753,1369.91,349.3271,246.11,467.609,44972.54,13.4918,1810.9879,media
8148.26,3872.0532,1992.7,353.3057,1995.97,508.9724,353.68,671.992,26776.83,8.033,5414.3563,alta
6074.88,2886.783,760.08,134.7622,1017.86,259.5543,151.52,287.888,32246.99,9.6741,3578.6616,media
5012.68,2382.0255,1573.2,278.9284,1219.94,311.0847,64.78,123.082,11580.38,3.4741,3098.5947,media
7678.42,3648.7852,1978.3,350.7526,193.36,49.3068,17.06,32.414,32073.23,9.622,4090.8806,media
2885.54,1371.2086,817.82,144.9995,354.27,90.3388,491.33,933.527,8178.43,2.4535,2542.5274,media
9764.87,4640.2662,1035.96,183.6757,1288.77,328.6363,118.39,224.941,46862.92,14.0589,5391.5781,alta
5634.94,2677.7235,1778.14,315.2642,1725.94,440.1147,356.46,677.274,22480.47,6.7441,4117.1205,media
4192.03,1992.0527,825.81,146.4161,1187.4,302.787,474.1,900.79,47495.85,14.2488,3356.2946,media
6193.89,2943.3365,181.68,32.2119,247.25,63.0487,127.99,243.181,15913.37,4.774,3286.5521,media
4959.78,2356.8875,163.94,29.0666,1869.3,476.6715,470.54,894.026,20395.73,6.1187,3762.7703,media
5639.23,2679.7621,1040.38,184.4594,1966.35,501.4192,38.99,74.081,13900.82,4.1702,3443.8919,media
924.58,439.3604,1930.79,342.3291,1584.24,403.9812,131.84,250.496,42334.77,12.7004,1448.8671,media
8062.12,3831.1194,972.51,172.426,73.11,18.643,50.89,96.691,15577.72,4.6733,4123.5527,media
6657.75,3163.7628,1868.04,331.2035,1747.96,445.7298,358.23,680.637,25916.46,7.7749,4629.108,media
3072.63,1460.1138,902.34,159.9849,1513.32,385.8966,498.46,947.074,6703.71,2.0111,2955.0804,media
3372.87,1602.7878,17.73,3.1435,1414.79,360.7715,17.5,33.25,36012.44,10.8037,2010.7565,media
6718.03,3192.4079,1984.18,351.7951,989.86,252.4143,150.67,286.273,26679.55,8.0039,4090.8942,media
5918.23,2812.3429,286.37,50.7734,1786.78,455.6289,181.23,344.337,12373.26,3.712,3666.7942,media
3331.39,1583.0765,443.87,78.6982,358.85,91.5068,306.08,581.552,19415.11,5.8245,2340.658,media
7903.32,3755.6577,1492.22,264.5706,1642.5,418.8375,281.05,533.995,45363.98,13.6092,4986.67,media
9871.01,4690.704,1000.18,177.3319,1812.93,462.2972,300.78,571.482,15876.07,4.7628,5906.5779,alta
4275.75,2031.8364,271.28,48.0979,1671.51,426.2351,381.27,724.413,46470.71,13.9412,3244.5236,media
2557.47,1215.3097,312.93,55.4825,877.3,223.7115,405.08,769.652,35376.58,10.613,2274.7687,media
8108.21,3853.0214,527.27,93.485,888.61,226.5956,127.04,241.376,40588.88,12.1767,4426.6547,media
5546.43,2635.6635,1189.78,210.948,1815.95,463.0673,84.64,160.816,37738.45,11.3215,3481.8163,media
1758.89,835.8245,947.55,168.0006,197.44,50.3472,479.6,911.24,38751.55,11.6255,1977.0378,media
5919.7,2813.0414,1093.08,193.8031,1389.48,354.3174,124.18,235.942,17452.51,5.2358,3602.3397,media
5489.8,2608.753,712.91,126.3989,61.48,15.6774,200.23,380.437,15070.06,4.521,3135.7873,media
